Question	Answer	Metadata
1. How can I help a friend I’m worried about?	If you are concerned about a friend, you can refer them to case management by contacting the Student Support team or by encouraging them to reach out themselves.	topic:Case Management; subTopic:Case Management - General Info
2. What steps can I take if I’m concerned for a friend’s well-being?	If you are concerned about a friend, you can refer them to case management by contacting the Student Support team or by encouraging them to reach out themselves.	topic:Case Management; subTopic:Case Management - General Info
3. What actions should I consider if a friend seems to be in trouble?	If you are concerned about a friend, you can refer them to case management by contacting the Student Support team or by encouraging them to reach out themselves.	topic:Case Management; subTopic:Case Management - General Info
4. How should I approach a situation where I’m worried about a friend?	If you are concerned about a friend, you can refer them to case management by contacting the Student Support team or by encouraging them to reach out themselves.	topic:Case Management; subTopic:Case Management - General Info
5. What are some ways to support a friend I’m concerned about?	If you are concerned about a friend, you can refer them to case management by contacting the Student Support team or by encouraging them to reach out themselves.	topic:Case Management; subTopic:Case Management - General Info
What languages are case management services offered in?	Case management services are offered in both English and French to accommodate the diverse student population at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
1. In which languages are case management services available?	Case management services are offered in both English and French to accommodate the diverse student population at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
2. What language options are provided for case management services?	Case management services are offered in both English and French to accommodate the diverse student population at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
3. Which languages can you access for case management services?	Case management services are offered in both English and French to accommodate the diverse student population at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
4. Are there multiple languages offered in case management services?	Case management services are offered in both English and French to accommodate the diverse student population at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
5. What are the language choices for receiving case management services?	Case management services are offered in both English and French to accommodate the diverse student population at the University of Ottawa.	topic:Case Management; subTopic:Case Management - General Info
Are case management services confidential?	Yes, all case management services are confidential, and information is only shared with relevant parties with the student's consent.	topic:Case Management; subTopic:Case Management - Services
1. Is the information shared during case management kept private?	Yes, all case management services are confidential, and information is only shared with relevant parties with the student's consent.	topic:Case Management; subTopic:Case Management - Services
2. Do case management services ensure client confidentiality?	Yes, all case management services are confidential, and information is only shared with relevant parties with the student's consent.	topic:Case Management; subTopic:Case Management - Services
3. Are discussions within case management sessions protected by privacy policies?	Yes, all case management services are confidential, and information is only shared with relevant parties with the student's consent.	topic:Case Management; subTopic:Case Management - Services
4. How is confidentiality maintained in case management services?	Yes, all case management services are confidential, and information is only shared with relevant parties with the student's consent.	topic:Case Management; subTopic:Case Management - Services
5. Are details discussed in case management sessions treated with confidentiality?	Yes, all case management services are confidential, and information is only shared with relevant parties with the student's consent.	topic:Case Management; subTopic:Case Management - Services
What is the role of a case manager?	The role of a case manager is to assess the needs of the student, develop a support plan, and coordinate various services to help the student achieve their goals.	topic:Case Management; subTopic:Case Management - General Info
Can case management help with mental health issues?	Yes, case management can help students with mental health issues by connecting them with appropriate mental health services and providing ongoing support.	topic:Case Management; subTopic:Case Management - General Info
What types of academic support can case management provide?	Case management can provide academic support by helping students access accommodations, connect with academic advisors, and manage their workload effectively.	topic:Case Management; subTopic:Case Management - Services
How long do case management services last?	The duration of case management services varies depending on the student's needs, with support continuing as long as necessary to address the student's challenges.	topic:Case Management; subTopic:Case Management - General Info
Can international students access case management services?	Yes, international students at the University of Ottawa can access case management services, and support is available to help them navigate unique challenges they may face.	topic:Case Management; subTopic:Case Management - General Info
What is the role of the Student Support team?	The Student Support team plays a crucial role in providing case management services, offering non-clinical support, and coordinating resources to help students with complex needs.	topic:Case Management; subTopic:Case Management - General Info
How is progress monitored in case management?	Progress in case management is monitored through regular check-ins with the student, where the case manager assesses the effectiveness of the support plan and makes adjustments as needed.	topic:Case Management; subTopic:Case Management - Services
What should a student bring to their first case management meeting?	Students should bring any relevant documentation, such as medical records, academic records, or previous assessments, to their first case management meeting.	topic:Case Management; subTopic:Case Management - Services
Can case management services help with financial issues?	Yes, case management services can help students with financial issues by connecting them to financial aid resources and providing guidance on managing their finances.	topic:Case Management; subTopic:Case Management - Services
