Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
3. Can you tell me the price of a doctor's appointment at the student health and wellness center?	The Health fee to acess the centre is already included in your tuition and gives you access to the centre. Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee: https://www.uottawa.ca/campus-life/health-wellness/student-health-wellness-centre/fees-not-covered	Generated	"category:health_services|keywords:[""doctor's appointment"", 'student health and wellness center', 'fees']|audience:students|language:en|additional_information:The Health fee to access the centre is already included in your tuition and gives you access to the centre. Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee."	[]	False	[]	
4. What is the fee for a doctor's appointment at the student health and wellness center?	The Health fee to acess the centre is already included in your tuition and gives you access to the centre. Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee: https://www.uottawa.ca/campus-life/health-wellness/student-health-wellness-centre/fees-not-covered	Generated	"category:health_services|keywords:[""doctor's appointment"", 'student health and wellness center', 'fees']|audience:students|language:en|additional_information:The Health fee to access the centre is already included in your tuition and gives you access to the centre. Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee."	[]	False	[]	
5. How much money do I have to spend for a doctor's appointment at the student health and wellness center?	The Health fee to acess the centre is already included in your tuition and gives you access to the centre. Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee: https://www.uottawa.ca/campus-life/health-wellness/student-health-wellness-centre/fees-not-covered	Generated	"category:health_services|keywords:[""doctor's appointment"", 'student health and wellness center', 'fees']|audience:students|language:en|additional_information:The Health fee to access the centre is already included in your tuition and gives you access to the centre. Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee."	[]	False	[]	
Does my insurance cover the appointments at the student health and Wellness centre?	Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee: https://www.uottawa.ca/campus-life/health-wellness/student-health-wellness-centre/fees-not-covered	Generated	category:health_services|keywords:['insurance', 'appointments', 'student health', 'Wellness centre', 'coverage']|audience:students|language:en|additional_information:Some services at the student health and wellness center may involve a fee if they are not covered by OHIP or UHIP. Students should check with their insurance provider to see if their appointments are covered.	[]	False	[]	
1. Is the student health and wellness center covered by my insurance?	Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee: https://www.uottawa.ca/campus-life/health-wellness/student-health-wellness-centre/fees-not-covered	Generated	category:health_services|keywords:['insurance', 'appointments', 'student health', 'Wellness centre', 'coverage']|audience:students|language:en|additional_information:Some services at the student health and wellness center may involve a fee if they are not covered by OHIP or UHIP. Students should check with their insurance provider to see if their appointments are covered.	[]	False	[]	
2. Does my insurance plan include coverage for visits to the student health and wellness center?	Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee: https://www.uottawa.ca/campus-life/health-wellness/student-health-wellness-centre/fees-not-covered	Generated	category:health_services|keywords:['insurance', 'appointments', 'student health', 'Wellness centre', 'coverage']|audience:students|language:en|additional_information:Some services at the student health and wellness center may involve a fee if they are not covered by OHIP or UHIP. Students should check with their insurance provider to see if their appointments are covered.	[]	False	[]	
3. Can I use my insurance to pay for appointments at the student health and wellness center?	Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee: https://www.uottawa.ca/campus-life/health-wellness/student-health-wellness-centre/fees-not-covered	Generated	category:health_services|keywords:['insurance', 'appointments', 'student health', 'Wellness centre', 'coverage']|audience:students|language:en|additional_information:Some services at the student health and wellness center may involve a fee if they are not covered by OHIP or UHIP. Students should check with their insurance provider to see if their appointments are covered.	[]	False	[]	
4. Will my insurance provider cover the cost of appointments at the student health and wellness center?	Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee: https://www.uottawa.ca/campus-life/health-wellness/student-health-wellness-centre/fees-not-covered	Generated	category:health_services|keywords:['insurance', 'appointments', 'student health', 'Wellness centre', 'coverage']|audience:students|language:en|additional_information:Some services at the student health and wellness center may involve a fee if they are not covered by OHIP or UHIP. Students should check with their insurance provider to see if their appointments are covered.	[]	False	[]	
5. Am I eligible for insurance coverage for appointments at the student health and wellness center?	Most services are provided free of charge but some services that are not covered by OHIP or UHIP might involve a fee: https://www.uottawa.ca/campus-life/health-wellness/student-health-wellness-centre/fees-not-covered	Generated	category:health_services|keywords:['insurance', 'appointments', 'student health', 'Wellness centre', 'coverage']|audience:students|language:en|additional_information:Some services at the student health and wellness center may involve a fee if they are not covered by OHIP or UHIP. Students should check with their insurance provider to see if their appointments are covered.	[]	False	[]	
Is there a pharmacy on campus?	There is a pharmacy on campus that is located at 100 Marie Curie Pvt. Ottawa	Generated	category:health_services|keywords:['pharmacy', 'campus']|audience:['students', 'staff', 'visitors']|language:en|additional_info:{'location': '100 Marie Curie Pvt. Ottawa'}	[]	False	[]	
1. Is there a drugstore located on the campus premises?	There is a pharmacy on campus that is located at 100 Marie Curie Pvt. Ottawa	Generated	category:health_services|keywords:['pharmacy', 'campus']|audience:['students', 'staff', 'visitors']|language:en|additional_info:{'location': '100 Marie Curie Pvt. Ottawa'}	[]	False	[]	
2. Can you tell me if there's a pharmacy nearby the campus area?	There is a pharmacy on campus that is located at 100 Marie Curie Pvt. Ottawa	Generated	category:health_services|keywords:['pharmacy', 'campus']|audience:['students', 'staff', 'visitors']|language:en|additional_info:{'location': '100 Marie Curie Pvt. Ottawa'}	[]	False	[]	
3. Are there any pharmacies in the vicinity of the campus?	There is a pharmacy on campus that is located at 100 Marie Curie Pvt. Ottawa	Generated	category:health_services|keywords:['pharmacy', 'campus']|audience:['students', 'staff', 'visitors']|language:en|additional_info:{'location': '100 Marie Curie Pvt. Ottawa'}	[]	False	[]	
4. Is it possible to obtain medication from a pharmacy in the campus vicinity?	There is a pharmacy on campus that is located at 100 Marie Curie Pvt. Ottawa	Generated	category:health_services|keywords:['pharmacy', 'campus']|audience:['students', 'staff', 'visitors']|language:en|additional_info:{'location': '100 Marie Curie Pvt. Ottawa'}	[]	False	[]	
5. Would you happen to know if there is a pharmacy within the campus boundaries?	There is a pharmacy on campus that is located at 100 Marie Curie Pvt. Ottawa	Generated	category:health_services|keywords:['pharmacy', 'campus']|audience:['students', 'staff', 'visitors']|language:en|additional_info:{'location': '100 Marie Curie Pvt. Ottawa'}	[]	False	[]	
How do I register for wellness workshops?	You can register for most of our workshops or services either through our webiste or on the uoWellness app.	Generated	category:health_services|keywords:['register', 'wellness workshops']|audience:['students', 'staff']|language:en|additional_info:{'registration_options': ['website', 'uoWellness app']}	[]	False	[]	
1. What is the process for signing up for wellness workshops?	You can register for most of our workshops or services either through our webiste or on the uoWellness app.	Generated	category:health_services|keywords:['register', 'wellness workshops']|audience:['students', 'staff']|language:en|additional_info:{'registration_options': ['website', 'uoWellness app']}	[]	False	[]	
2. Can you guide me through the registration process for wellness workshops?	You can register for most of our workshops or services either through our webiste or on the uoWellness app.	Generated	category:health_services|keywords:['register', 'wellness workshops']|audience:['students', 'staff']|language:en|additional_info:{'registration_options': ['website', 'uoWellness app']}	[]	False	[]	
3. Is there a specific way to enroll in the wellness workshops?	You can register for most of our workshops or services either through our webiste or on the uoWellness app.	Generated	category:health_services|keywords:['register', 'wellness workshops']|audience:['students', 'staff']|language:en|additional_info:{'registration_options': ['website', 'uoWellness app']}	[]	False	[]	
4. What steps do I need to take to attend the wellness workshops?	You can register for most of our workshops or services either through our webiste or on the uoWellness app.	Generated	category:health_services|keywords:['register', 'wellness workshops']|audience:['students', 'staff']|language:en|additional_info:{'registration_options': ['website', 'uoWellness app']}	[]	False	[]	
5. Could you explain how I can register for the wellness workshops?	You can register for most of our workshops or services either through our webiste or on the uoWellness app.	Generated	category:health_services|keywords:['register', 'wellness workshops']|audience:['students', 'staff']|language:en|additional_info:{'registration_options': ['website', 'uoWellness app']}	[]	False	[]	
How much does it cost to get academic accommodations?	Nothing, academic accomodations altough some of the medical documentations needed might involve a fee at your doctor's office.	Generated	"category:academic_support|keywords:['academic accommodations', 'cost', 'medical documentation', 'fee', ""doctor's office""]|audience:students|language:en|additional_info:This answer is specific to academic accommodations and may not apply to other types of accommodations."	[]	False	[]	
1. What is the fee for academic accommodations?	Nothing, academic accomodations altough some of the medical documentations needed might involve a fee at your doctor's office.	Generated	"category:academic_support|keywords:['academic accommodations', 'cost', 'medical documentation', 'fee', ""doctor's office""]|audience:students|language:en|additional_info:This answer is specific to academic accommodations and may not apply to other types of accommodations."	[]	False	[]	
2. Can you tell me the cost of academic accommodations?	Nothing, academic accomodations altough some of the medical documentations needed might involve a fee at your doctor's office.	Generated	"category:academic_support|keywords:['academic accommodations', 'cost', 'medical documentation', 'fee', ""doctor's office""]|audience:students|language:en|additional_info:This answer is specific to academic accommodations and may not apply to other types of accommodations."	[]	False	[]	
3. How much should I expect to pay for academic accommodations?	Nothing, academic accomodations altough some of the medical documentations needed might involve a fee at your doctor's office.	Generated	"category:academic_support|keywords:['academic accommodations', 'cost', 'medical documentation', 'fee', ""doctor's office""]|audience:students|language:en|additional_info:This answer is specific to academic accommodations and may not apply to other types of accommodations."	[]	False	[]	
4. What is the price range for academic accommodations?	Nothing, academic accomodations altough some of the medical documentations needed might involve a fee at your doctor's office.	Generated	"category:academic_support|keywords:['academic accommodations', 'cost', 'medical documentation', 'fee', ""doctor's office""]|audience:students|language:en|additional_info:This answer is specific to academic accommodations and may not apply to other types of accommodations."	[]	False	[]	
5. What are the charges for academic accommodations?	Nothing, academic accomodations altough some of the medical documentations needed might involve a fee at your doctor's office.	Generated	"category:academic_support|keywords:['academic accommodations', 'cost', 'medical documentation', 'fee', ""doctor's office""]|audience:students|language:en|additional_info:This answer is specific to academic accommodations and may not apply to other types of accommodations."	[]	False	[]	
Can I get blood work done on campus?	Yes, you can have bloodwork done atvthe Student Health and Wellness Centre.	Generated	category:health_services|keywords:['blood work', 'campus', 'Student Health and Wellness Centre']|audience:['students', 'staff']|language:en	[]	False	[]	
1. Is it possible to have blood work done on campus?	Yes, you can have bloodwork done atvthe Student Health and Wellness Centre.	Generated	category:health_services|keywords:['blood work', 'campus', 'Student Health and Wellness Centre']|audience:['students', 'staff']|language:en	[]	False	[]	
2. Does the campus offer blood work services?	Yes, you can have bloodwork done atvthe Student Health and Wellness Centre.	Generated	category:health_services|keywords:['blood work', 'campus', 'Student Health and Wellness Centre']|audience:['students', 'staff']|language:en	[]	False	[]	
3. Are there any facilities on campus that provide blood work services?	Yes, you can have bloodwork done atvthe Student Health and Wellness Centre.	Generated	category:health_services|keywords:['blood work', 'campus', 'Student Health and Wellness Centre']|audience:['students', 'staff']|language:en	[]	False	[]	
4. Can I have my blood work done at a clinic on campus?	Yes, you can have bloodwork done atvthe Student Health and Wellness Centre.	Generated	category:health_services|keywords:['blood work', 'campus', 'Student Health and Wellness Centre']|audience:['students', 'staff']|language:en	[]	False	[]	
5. Is there a place on campus where I can get blood work done?	Yes, you can have bloodwork done atvthe Student Health and Wellness Centre.	Generated	category:health_services|keywords:['blood work', 'campus', 'Student Health and Wellness Centre']|audience:['students', 'staff']|language:en	[]	False	[]	
